Job Title;Company Name;Job City;Job Rating;Job Post Date
Senior Data Scientist- Consumer Product- Metrics Team;Twitter;San Francisco;4.1;26
Senior Manager I, Finance, Ecomm - Data Scientist Finance;Walmart;San Bruno;3.5;8
Data Scientist, Analytics - Personalization;Facebook;Menlo Park;4.2;30+
Sr. Data Scientist - Analytics, Personalized Healthcare (PHC...;GENENTECH;South San Francisco;4.1;1
Data Scientist - Alexa Shopping;Amazon.com Services, Inc.;Palo Alto;3.6;30+
Data Scientist;Everlane;San Francisco;4.1;30+
Sr. Data Scientist - Product Analytics;Adobe;San Francisco;4.3;30+
Natural Language Processing Scientist;AppZen;San Jose;None;30+
Cloud Data Architect-AWS;Altais;Oakland;None;30+
Machine Learning Scientist / Engineer (AAAI 2020);Apple;Santa Clara Valley;4.2;12
Data Scientist, Analytics - AR/VR Media;Facebook;Menlo Park;4.2;30+
Data Scientist, Analytics - Spark AR;Facebook;Menlo Park;4.2;30+
Data Scientist, Analytics - New Product Experimentation;Facebook;Menlo Park;4.2;30+
Siri, Sr. Data Scientist - Statistician, Data Organization;Apple;Santa Clara Valley;4.2;8
Machine Learning Specialist;SigOpt;San Francisco;None;30+
Principal Data Scientist;CLARA analytics, Inc.;Santa Clara;None;9
Data Scientist, Mobile Analytics;2K Games;Novato;3.7;30+
Data Science Intern;Yodlee;Redwood City;3.9;10
Data Scientist - Machine Learning Engineer;Apple;Santa Clara Valley;4.2;30+
Senior Data Scientist - Risk Analytics;Wealthfront;Palo Alto;None;17
Senior Data Scientist;BlueVine;Redwood City;None;30+
Integrated Service Owner - Enterprise Analytics and Data Sci...;GENENTECH;South San Francisco;4.1;1
Data Scientist;Apple;Santa Clara Valley;4.2;30+
Machine Learning Engineer;Synapse Financial Technologies Inc;San Francisco;None;30+
Senior Data Analyst;Gap Inc.;San Francisco;3.8;30+
Group Manager - Data Science;Intuit;Mountain View;4.2;1
Sr. Data Scientist - Content;Branch;Redwood City;5.0;30+
Assoc. Director, R & D Information Systems, Data Scientist;Gilead Sciences;Foster City;3.6;30+
Campus Recruiting: Full Time Data Scientist/Data Analytics (...;Walmart;Sunnyvale;3.5;30+
Data Scientist / Solution Architect;Samsung SDS America;San Jose;4.0;9
Sr. Data Scientist;Hewlett Packard Enterprise;San Jose;3.7;30+
Data Engineer - Deep Learning;Susquehanna International Group, LLP;Alameda;3.8;26
Data Scientist, Analytics - Machine Translation;Facebook;Menlo Park;4.2;30+
Data Scientist;CareDx;Brisbane;2.8;30+
Senior Data Analyst- Product;Blue Owl;San Francisco;None;30+
Data Science Manager - Uber Eats (SF);Uber;San Francisco;3.8;30+
Associate Data Scientist;PayPal;San Jose;3.9;30+
Applied Scientist, Alexa Devices;Amazon.com Services LLC;Sunnyvale;3.6;2
Senior Data Analyst - Creator Formats;Twitch Interactive, Inc.;San Francisco;3.6;30+
Clinical Data Scientist;Stanford Health Care;Redwood City;4.0;30+
Commercial Banking –Data Science, Analytics Manager;JP Morgan Chase;Palo Alto;3.9;2
Data Scientist, Analytics - Family Ecosystem;Facebook;Menlo Park;4.2;30+
Machine Learning Scientist;Autodesk;San Francisco;4.1;30+
Staff Data Scientist;Telenav;Santa Clara;3.7;30+
Senior Data Analyst;Walmart;San Bruno;3.5;11
Senior Staff Data Scientist;NerdWallet;San Francisco;3.9;30+
Advanced Analytics Network - Data Science Intern;Roche;Santa Clara;4.2;30+
Machine Learning Engineer;Hive;San Francisco;3.7;30+
Machine Learning Engineer;GSK;San Francisco;4.2;30+
Staff Data Scientist, Business Analytics - Payments;Intuit;Mountain View;4.2;1
Data Scientist, Ad Platforms Data Analytics;Apple;Santa Clara Valley;4.2;30+
Chief Data Scientist;[24]7.ai;San Jose;None;30+
Data Scientist, Calibra Marketing (Blockchain);Facebook;Menlo Park;4.2;30+
Sr. Data Scientist;MachineZone;Palo Alto;2.6;30+
Senior Operations Data Analyst;GENENTECH;South San Francisco;4.1;1
Data Science Manager - Dynamic Pricing;Uber;San Francisco;3.8;30+
Data Scientist;3T Biosciences;Menlo Park;None;30+
Senior Data Scientist;Grand Rounds;San Francisco;3.4;30+
Sr Data Scientist, Tech Lead - Maps;Uber;San Francisco;3.8;30+
Lead Data Scientist;Esurance;San Francisco;3.4;30+
Data Scientist, Analytics - Marketplace Search;Facebook;Menlo Park;4.2;30+
Data Science Intern;eBay Inc.;San Francisco;3.9;30+
Senior Data Scientist, Growth;Atlassian;Mountain View;4.5;30+
Data Scientist, Calibra (Blockchain);Facebook;Menlo Park;4.2;30+
Machine Learning Engineer - Home Timeline;Twitter;San Francisco;4.1;3
Decision Scientist - AR/VR;Facebook;Menlo Park;4.2;30+
Principal Data Scientist - Technical Institute, Evidence for...;GENENTECH;South San Francisco;4.1;2
Machine Learning / Data Scientist Engineer;Ampere Computing;Santa Clara;None;30+
Deep Learning Staff Data Scientist;Walmart eCommerce;Sunnyvale;3.4;30+
ML Engineer;Wish;San Francisco;3.8;30+
Data Scientist, Analytics - Messenger Monetization;Facebook;Menlo Park;4.2;30+
Senior Data Scientist;Upstart Network, Inc.;San Mateo;None;30+
Security Data Scientist;Amazon Web Services, Inc.;San Francisco;3.6;30+
Decision Scientist, Revenue Acceleration, Google Cloud;Google;Sunnyvale;4.3;30+
Core Tech TPM - Data Operations;Facebook;Menlo Park;4.2;30+
Deep Learning Staff Data Scientist;Walmart;Sunnyvale;3.5;30+
Data Scientist - Machine Learning;CareDx;Brisbane;2.8;30+
Senior Data Scientist;Lucid Motors;Newark;4.0;16
Data Scientist / Economist;eBay Inc.;San Jose;3.9;30+
Decision Scientist;Facebook;Menlo Park;4.2;30+
Staff Data Scientist - NLP;Walmart eCommerce;Sunnyvale;3.4;30+
Data Scientist, Human Evaluation, Apple Media Products;Apple;Santa Clara Valley;4.2;15
Sr Scientist Data Science;Abbott Laboratories;Santa Clara;4.0;30+
Data Science Intern;KLA-Tencor;Milpitas;4.0;10
Maps Data and Machine Learning Internship;Apple;Santa Clara Valley;4.2;25
Senior Data Analyst;Walmart eCommerce;San Bruno;3.4;11
Software Engineer - Machine Learning;Affirm;San Francisco;3.8;30+
Clinical Data Scientist;BioMarin;San Rafael;4.0;30+
2020 Artificial Intelligence/Machine Learning Graduate Summe...;Williams-Sonoma, Inc.;San Francisco;3.6;30+
Data Scientist – Machine Learning;NVIDIA;Santa Clara;4.2;30+
Data Scientist - Applied Machine Learning (Search and Text);Apple;Santa Clara Valley;4.2;18
Sr. Data Scientist;Amazon Data Services, Inc.;East Palo Alto;3.6;30+
Machine Learning/AI Researcher;SCOTTY;San Francisco;None;30+
AI/ML Engineer - NLP;GSK;San Francisco;4.2;3
Senior Data Analyst;Gametime United, Inc.;San Francisco;3.4;30+
Machine Learning Engineer;Toyota Research Institute;Los Altos;3.8;30+
Data Scientist, Analytics - AI Model Measurement Platform;Facebook;Menlo Park;4.2;30+
Data Science Intern;Oath Inc;Sunnyvale;3.8;30+
Machine Learning Scientist;Robust.AI;Palo Alto;None;9
Senior Data Scientist;Edison Software, Inc.;San Jose;None;30+
Data Science Intern;Oath Inc;Sunnyvale;3.8;30+
Senior Data Analyst;Gametime United, Inc.;San Francisco;3.4;30+
Senior Data Scientist;Lattice Engines;San Mateo;4.1;30+
Data Scientist, Calibra Marketing (Blockchain);Facebook;Menlo Park;4.2;30+
Senior Data Scientist;Edison Software, Inc.;San Jose;None;30+
Decision Scientist - AR/VR;Facebook;Menlo Park;4.2;30+
